objectid,identifier,filename,publication,location,date,month_str,month_int,day,year,format,notes,collection
Indianapolis_Times_November_08_1930_jpg,Indianapolis_Times_November_08_1930_jpg,Indianapolis_Times_November_08_1930.jpg,Indianapolis Times,"Indianapolis, Indiana, US",08/11/1930,November,11,08,1930,image/jpeg,,Indianapolis Times
Indianapolis_Times_September_12_1929_jpg,Indianapolis_Times_September_12_1929_jpg,Indianapolis_Times_September_12_1929.jpg,Indianapolis Times,"Indianapolis, Indiana, US",12/09/1929,September,09,12,1929,image/jpeg,,Indianapolis Times
Indianapolis_Times_September_27_1928_jpg,Indianapolis_Times_September_27_1928_jpg,Indianapolis_Times_September_27_1928.jpg,Indianapolis Times,"Indianapolis, Indiana, US",27/09/1928,September,09,27,1928,image/jpeg,,Indianapolis Times
Michigan_Chronicle_March_13_1943_jpg,Michigan_Chronicle_March_13_1943_jpg,Michigan_Chronicle_March_13_1943.jpg,Michigan Chronicle,"Detroit, Michigan, US",13/03/1943,March,03,13,1943,image/jpeg,,Michigan Chronicle
Richmond_Palladium_Sun_Telegram_February_06_1922_jpg,Richmond_Palladium_Sun_Telegram_February_06_1922_jpg,Richmond_Palladium_Sun_Telegram_February_06_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",06/02/1922,February,02,06,1922,image/jpeg,,Richmond Palladium and Sun Telegram
Richmond_Palladium_Sun_Telegram_February_08_1922_jpg,Richmond_Palladium_Sun_Telegram_February_08_1922_jpg,Richmond_Palladium_Sun_Telegram_February_08_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",08/02/1922,February,02,08,1922,image/jpeg,,Richmond Palladium and Sun Telegram
Richmond_Palladium_Sun_Telegram_February_09_1922_jpg,Richmond_Palladium_Sun_Telegram_February_09_1922_jpg,Richmond_Palladium_Sun_Telegram_February_09_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",09/02/1922,February,02,09,1922,image/jpeg,,Richmond Palladium and Sun Telegram
Richmond_Palladium_Sun_Telegram_January_31_1922_jpg,Richmond_Palladium_Sun_Telegram_January_31_1922_jpg,Richmond_Palladium_Sun_Telegram_January_31_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",31/01/1922,January,01,31,1922,image/jpeg,,Richmond Palladium and Sun Telegram
SB_News_Times_April_13_1914_jpg,SB_News_Times_April_13_1914_jpg,SB_News_Times_April_13_1914.jpg,South Bend News Times,"South Bend, Indiana, US",13/04/1914,April,04,13,1914,image/jpeg,,South Bend News Times
SB_News_Times_April_14_1919_jpg,SB_News_Times_April_14_1919_jpg,SB_News_Times_April_14_1919.jpg,South Bend News Times,"South Bend, Indiana, US",14/04/1919,April,04,14,1919,image/jpeg,,South Bend News Times
SB_News_Times_April_26_1917_jpg,SB_News_Times_April_26_1917_jpg,SB_News_Times_April_26_1917.jpg,South Bend News Times,"South Bend, Indiana, US",26/04/1917,April,04,26,1917,image/jpeg,,South Bend News Times
SB_News_Times_April_30_1926_jpg,SB_News_Times_April_30_1926_jpg,SB_News_Times_April_30_1926.jpg,South Bend News Times,"South Bend, Indiana, US",30/04/1926,April,04,30,1926,image/jpeg,,South Bend News Times
SB_News_Times_April_3_1917_jpg,SB_News_Times_April_3_1917_jpg,SB_News_Times_April_3_1917.jpg,South Bend News Times,"South Bend, Indiana, US",03/04/1917,April,04,03,1917,image/jpeg,,South Bend News Times
SB_News_Times_August_01_1920_jpg,SB_News_Times_August_01_1920_jpg,SB_News_Times_August_01_1920.jpg,South Bend News Times,"South Bend, Indiana, US",01/08/1920,August,08,01,1920,image/jpeg,,South Bend News Times
SB_News_Times_August_03_1916_jpg,SB_News_Times_August_03_1916_jpg,SB_News_Times_August_03_1916.jpg,South Bend News Times,"South Bend, Indiana, US",03/08/1916,August,08,03,1916,image/jpeg,,South Bend News Times
SB_News_Times_August_09_1913_jpg,SB_News_Times_August_09_1913_jpg,SB_News_Times_August_09_1913.jpg,South Bend News Times,"South Bend, Indiana, US",09/08/1913,August,08,09,1913,image/jpeg,,South Bend News Times
SB_News_Times_August_10_1921_jpg,SB_News_Times_August_10_1921_jpg,SB_News_Times_August_10_1921.jpg,South Bend News Times,"South Bend, Indiana, US",10/08/1921,August,08,10,1921,image/jpeg,,South Bend News Times
